File Name,Events,Total Entries,Total Exits,Total Writes,Total Reads,Total CFP,LOC,Gate Count,Circuit Width,Qubit Connectivity
peterducai_remath\qis.py,3,5,5,0,0,10,17,3,3,2
phdenzel_bb84\bb84.py,3,3,3,0,0,6,78,3,1,0
Pranav2509_quantum_random_number_generator\random_number_quantum_computer.py,2,1,1,1,0,3,53,1,1,0
Priyam-28_Quantum-Signature-Protocol\app.py,5,3,3,3,0,9,302,2,2,1
qc2nl_qc2\qc2\ansatz\qiskit\gate_fabric.py,1,1,1,0,0,2,191,1,1,0
Qcraft-UEx_QCRAFT-Scheduler\circuits-code\qaoa.py,2,0,0,2,0,2,28,0,0,0
Qcraft-UEx_QCRAFT-Scheduler\circuits-code\simon.py,6,0,0,6,0,6,39,0,0,0
Qcraft-UEx_QCRAFT-Scheduler\circuits-code\combinational\popularalgorithms\simon\simon_qcraft.py,6,0,0,6,0,6,39,0,0,0
Qcraft-UEx_QCRAFT-Scheduler\circuits-code\combinational\popularalgorithms\simon\simon_vq.py,3,0,0,3,0,3,45,0,0,0
Qcraft-UEx_QCRAFT-Scheduler\circuits-code\sequential\qwalk\qwalk-v-chain_5_mqt.py,5,0,0,5,0,5,63,0,0,0
Qcraft-UEx_QCRAFT-Scheduler-Shotwise\circuits-code\qaoa.py,2,0,0,2,0,2,28,0,0,0
Qcraft-UEx_QCRAFT-Scheduler-Shotwise\circuits-code\simon.py,6,0,0,6,0,6,39,0,0,0
Qcraft-UEx_QCRAFT-Scheduler-Shotwise\circuits-code\combinational\popularalgorithms\simon\simon_qcraft.py,6,0,0,6,0,6,39,0,0,0
Qcraft-UEx_QCRAFT-Scheduler-Shotwise\circuits-code\combinational\popularalgorithms\simon\simon_vq.py,3,0,0,3,0,3,45,0,0,0
Qcraft-UEx_QCRAFT-Scheduler-Shotwise\circuits-code\sequential\qwalk\qwalk-v-chain_5_mqt.py,5,0,0,5,0,5,63,0,0,0
qDNA-yonsei_qdna-lib\qdna\embedding\nqe_base.py,6,6,6,0,0,12,418,6,1,0
qiskit-community_qiskit-jku-provider\examples\two_register.py,2,0,0,2,0,2,35,0,0,0
Qiskit_qiskit\qiskit\circuit\random\utils.py,5,0,0,5,0,5,755,0,0,0
Qiskit_qiskit\test\benchmarks\utils.py,6,2,2,4,0,8,308,2,1,0
Qiskit_qiskit\test\python\primitives\test_backend_estimator_v2.py,9,14,14,0,0,28,502,9,2,1
Qiskit_qiskit\test\python\qpy\test_serialize_value_objects.py,1,1,1,0,0,2,43,1,1,0
Qiskit_qiskit\test\python\transpiler\test_vf2_layout.py,25,37,37,2,0,76,801,23,4,3
Qiskit_qiskit\test\python\visualization\test_dag_drawer.py,11,12,12,2,0,26,169,9,5,3
Qiskit_qiskit-aer\test\terra\backends\aer_simulator\test_initialize.py,10,29,29,0,0,58,238,10,6,8
Qottmann_Quantum-anomaly-detection\qae.py,2,2,2,0,0,4,334,2,1,0
qsppack_QETU\qet_u.py,3,1,1,2,0,4,501,1,1,0
QunaSys_qiskit-qube-backend\qiskit_qube_backend\circuits.py,27,19,19,11,0,49,216,16,2,1
RicardoParizotto_qiskit_learn\adder.py,7,9,9,2,0,20,36,5,4,4
SaashaJoshi_QML-circuit-cutting\tensor_network\two_qubit_unitary.py,38,45,45,0,0,90,215,38,2,1
SamparkBhol_quantum_random_walk_explorer\utils.py,1,2,2,0,0,4,134,1,2,1
SeivenBell_Quantum_Information\A5.py,4,8,8,0,0,16,37,4,5,4
sethuquantum_LearnQuantum\test\python\dagcircuit\test_dagdependency.py,4,0,0,4,0,4,324,0,0,0
ShivanshaShiva_ElAiAssistant\temp_repo\temp_repos\qiskit\test\benchmarks\utils.py,6,2,2,4,0,8,308,2,1,0
ShivanshaShiva_ElAiAssistant\temp_repo\temp_repos\qiskit\test\python\qpy\test_serialize_value_objects.py,1,1,1,0,0,2,43,1,1,0
ShivanshaShiva_SystemResourceTracker\temp_repos\qiskit\test\benchmarks\utils.py,6,2,2,4,0,8,308,2,1,0
ShivanshaShiva_SystemResourceTracker\temp_repos\qiskit\test\python\qpy\test_serialize_value_objects.py,1,1,1,0,0,2,43,1,1,0
shreyazh_Quantum-Rock-Paper-Scissors-\app.py,3,2,2,1,0,5,50,2,1,0
simsam8_inf367_mandatory2\src.py,16,19,19,3,0,41,364,13,4,3
Simula-COMPLEX_muskit\Experimental Data\CE\Mutants\66AddGate_rx_inGap_4_.py,1,1,1,0,0,2,33,1,1,0
Simula-COMPLEX_muskit\Experimental Data\IQFT\Mutants\71AddGate_rzz_inGap_4_.py,1,1,1,0,0,2,35,1,1,0
Simula-COMPLEX_Quantum-Software-Engineering\QuantumSoftwareTestingTools\Muskit\Experimental Data\CE\Mutants\66AddGate_rx_inGap_4_.py,1,1,1,0,0,2,33,1,1,0
Simula-COMPLEX_Quantum-Software-Engineering\QuantumSoftwareTestingTools\Muskit\Experimental Data\IQFT\Mutants\71AddGate_rzz_inGap_4_.py,1,1,1,0,0,2,35,1,1,0
sinugarc_TFM\Replication\QCRMut\muskitTest\CE\CEMutants\66AddGate_rx_inGap_4_.py,1,1,1,0,0,2,33,1,1,0
sinugarc_TFM\Replication\QCRMut\muskitTest\IQFT\IQFTMutants\71AddGate_rzz_inGap_4_.py,1,1,1,0,0,2,35,1,1,0
sinugarc_TFM\Results\QCRMut\muskitTest\BV\BVMutantsAdapted\Add83.py,1,1,1,0,0,2,28,1,1,0
sinugarc_TFM\Results\QCRMut\muskitTest\CE\CEMutants\66AddGate_rx_inGap_4_.py,1,1,1,0,0,2,33,1,1,0
sinugarc_TFM\Results\QCRMut\muskitTest\CE\CEMutantsAdapted\15AddGate_rxx_inGap_1_.py,1,1,1,0,0,2,40,1,1,0
sinugarc_TFM\Results\QCRMut\muskitTest\IQFT\IQFTMutants\71AddGate_rzz_inGap_4_.py,1,1,1,0,0,2,35,1,1,0
sparshgup_QNL-Net\cifar10_binaryclass\cifar10_binaryclass_model_pca.py,2,2,2,0,0,4,95,2,1,0
